name,price,have_stock
AWP | Containment Breach (Field-Tested),68.13,3
AWP | Containment Breach (Minimal Wear),122.54,0
AWP | Containment Breach (Well-Worn),52.48,8
AWP | Corticera (Factory New),36.23,15
AWP | Corticera (Field-Tested),13.5,4
AWP | Corticera (Minimal Wear),15.15,12
AWP | Desert Hydra (Battle-Scarred),1624.65,0
AWP | Desert Hydra (Factory New),2354.22,0
AWP | Desert Hydra (Field-Tested),1638.97,0
AWP | Desert Hydra (Minimal Wear),1894.41,0
AWP | Desert Hydra (Well-Worn),1497.79,0
AWP | Dragon Lore (Factory New),11635.98,0
AWP | Dragon Lore (Field-Tested),5333.31,0
AWP | Dragon Lore (Minimal Wear),8541.14,0
AWP | Electric Hive (Factory New),67.13,1
AWP | Electric Hive (Field-Tested),37.93,26
AWP | Electric Hive (Minimal Wear),49.85,17
AWP | Electric Hive (Well-Worn),37.49,0
AWP | Elite Build (Battle-Scarred),7.41,0
AWP | Elite Build (Factory New),22.33,0
AWP | Elite Build (Field-Tested),10.26,22
AWP | Elite Build (Minimal Wear),13.4,7
AWP | Elite Build (Well-Worn),8.72,17
AWP | Exoskeleton (Battle-Scarred),1.01,24
AWP | Exoskeleton (Factory New),5.67,47
AWP | Exoskeleton (Field-Tested),1.09,4
AWP | Exoskeleton (Minimal Wear),1.82,33
AWP | Exoskeleton (Well-Worn),0.98,16
AWP | Fade (Factory New),1032.29,0
AWP | Fever Dream (Battle-Scarred),5.04,0
AWP | Fever Dream (Factory New),9.76,0
AWP | Fever Dream (Field-Tested),5.49,0
AWP | Fever Dream (Minimal Wear),6.95,0
AWP | Fever Dream (Well-Worn),6.74,0
AWP | Graphite (Factory New),211.15,7
AWP | Graphite (Minimal Wear),173.75,0
AWP | Gungnir (Factory New),9718.08,0
AWP | Gungnir (Field-Tested),7114.95,0
AWP | Gungnir (Minimal Wear),8413.93,0
AWP | Hyper Beast (Battle-Scarred),22.76,42
AWP | Hyper Beast (Factory New),111.31,12
AWP | Hyper Beast (Field-Tested),34.08,35
AWP | Hyper Beast (Minimal Wear),59.48,2
AWP | Hyper Beast (Well-Worn),27.4,10
AWP | Lightning Strike (Factory New),525.86,0
AWP | Lightning Strike (Minimal Wear),475.08,0
AWP | Man-o'-war (Field-Tested),25.85,0
AWP | Man-o'-war (Minimal Wear),31.07,9
AWP | Medusa (Battle-Scarred),1773.56,0
AWP | Medusa (Field-Tested),2318.8,0
AWP | Medusa (Minimal Wear),2887.18,0
AWP | Medusa (Well-Worn),1965.05,0
AWP | Mortis (Battle-Scarred),1.92,87
AWP | Mortis (Factory New),5.42,2
AWP | Mortis (Field-Tested),1.68,4
AWP | Mortis (Minimal Wear),3.0,25
AWP | Mortis (Well-Worn),2.63,4
AWP | Neo-Noir (Battle-Scarred),25.01,3
AWP | Neo-Noir (Factory New),46.65,9
AWP | Neo-Noir (Field-Tested),30.3,27
AWP | Neo-Noir (Minimal Wear),36.25,27
AWP | Neo-Noir (Well-Worn),29.65,6
AWP | Oni Taiji (Battle-Scarred),165.89,0
AWP | Oni Taiji (Factory New),480.21,5
AWP | Oni Taiji (Field-Tested),291.84,18
AWP | Oni Taiji (Minimal Wear),368.74,0
AWP | Oni Taiji (Well-Worn),187.49,1
AWP | PAW (Battle-Scarred),2.67,1
AWP | PAW (Factory New),5.38,17
AWP | PAW (Field-Tested),1.5,73
AWP | PAW (Minimal Wear),2.14,0
